id,added,edited,beerdb_id,name,country,origin_state,origin_city,production,url,description,latitude,longitude,accuracy,image
53,2013-07-08 23:33:04.243168+00:00,2013-07-08 23:33:04.277941+00:00,,Žateck Pivovar,CZE,,Žatec,,,,,,,
54,2013-07-08 23:33:04.319131+00:00,2013-07-08 23:33:04.344123+00:00,,Athenian Brewery,GRC,,Athens,,,,,,,
55,2013-07-08 23:33:04.358247+00:00,2013-07-08 23:33:04.389044+00:00,,Atlanta Brewing Company,USA,Georgia,Atlanta,,http://www.atlantabrewing.com/,,33.817999999999998,-84.435299999999998,rooftop,
56,2013-07-08 23:33:04.412794+00:00,2013-07-08 23:33:04.446231+00:00,,Atlantic Brewing Company,USA,Maine,Bar Harbor,,http://www.atlanticbrewing.com,"The Atlantic Brewing Company began brewing in 1991, on the eve of the microbrewing revolution. We have steadily grown over the years by having a strong commitment to tradition, quality and service. As a result, we have become the number one beer of the Bar Harbor region.  In the spirit of old world tradition, our beers are sold and distributed by small independents (not national brands). Our beers are now available in select areas throughout the eastern US. We only brew 60 kegs per day, which allows us to still maintain our commitment to craftsmanship. The result is that our beers enjoy great respect in the beer community. Visit our Tasting Room for more information about our standard ales.  Our new facility was built on the site of an old farm a few miles from downtown Bar Harbor. It was designed to create a more visitor friendly environment similar to country wineries and breweries found throughout Europe.",44.3996,-68.334000000000003,rooftop,
57,2013-07-08 23:33:04.491053+00:00,2013-07-08 23:33:04.500987+00:00,,Atwater Block Brewing,USA,Michigan,Detroit,,http://www.atwaterbeer.com,"Atwater Block Brewery, located in Detroit's historic Rivertown district is housed in a 1916 factory warehouse that was founded in March of 1997. Our brewing process however, is over 200 years old. We are able to brew our brands in the true heritage style of German lagers. With our imported Kasper Schultz brew house, only the finest malt and hops from Germany are used to brew our lagers and only the finest American hops for our specialty Ale's. Atwater block beers are distinctly fresh and flavorful, which is why we have a slogan We drink all we can and sell the rest..  Atwater Block Brewery is carrying on the rich history of breweries in Detroit, we are THE brewery of the D.",42.337200000000003,-83.018600000000006,rooftop,
58,2013-07-08 23:33:04.541593+00:00,2013-07-08 23:33:04.575475+00:00,,August Schell Brewing,USA,Minnesota,New Ulm,,http://www.schellsbrewery.com/,"The August Schell Brewing Company is a brewing company in New Ulm, Minnesota. It was founded by German immigrants August Schell and Jacob Bernhardt in 1860 and passed into the possession of the Schell family in 1866. It is the second oldest family-owned brewery in America and became the oldest and largest brewery in Minnesota when the company bought the Grain Belt rights in 2002.",44.2896,-94.448999999999998,interpolated,
59,2013-07-08 23:33:04.603263+00:00,2013-07-08 23:33:04.623161+00:00,,Not Available (58),,,,,,,44.2896,-94.448999999999998,interpolated,
60,2013-07-08 23:33:04.642390+00:00,2013-07-08 23:33:04.663455+00:00,,Augusta Brewing,USA,Missouri,Augusta,,,,38.5702,-90.880200000000002,interpolated,
61,2013-07-08 23:33:04.686280+00:00,2013-07-08 23:33:04.696775+00:00,,Augustiner-Bräu München,DEU,Bayern,München,,http://www.augustiner-braeu.de,"Augustiner Bräu is a brewery located in Munich, Germany. Established in 1328, it is Munich's oldest brewery and produces some of Munich's most popular brands of beer.",,,,
62,2013-07-08 23:33:04.704032+00:00,2013-07-08 23:33:04.718588+00:00,,Australian Brewing Corporation,AUS,Victoria,Little River,,http://www.australianbrewingcorporation.com/,,-37.968000000000004,144.52500000000001,rooftop,
