id,added,edited,beerdb_id,name,brewer,style,edition,abv,calories_oz,carbs_oz,original_gravity,specific_gravity,description,image,untappd_beer_id
4981,2013-07-09 00:14:01.911003+00:00,2013-07-09 00:14:01.934387+00:00,,Old Guardian Barley Wine 2003,1205,1,,9.9100000000000001,,,,,,,
4982,2013-07-09 00:14:01.946097+00:00,2013-07-09 00:14:01.975297+00:00,,Levitation Ale,1205,34,,4.4000000000000004,,,,,,,
4983,2013-07-09 00:14:01.999905+00:00,2013-07-09 00:14:02.023849+00:00,,Imperial Stout 2003,1205,43,,9.4000000000000004,,,,,,,
4984,2013-07-09 00:14:02.049228+00:00,2013-07-09 00:14:02.067119+00:00,,Smoked Porter,1205,26,,5.9000000000000004,,,,,"Stone Smoked Porter is dark, rich and complicated. A porter is substantially darker than a pale ale, but not as black or opaque as a stout. Our Smoked porter has a captivatingly deep mahogany color, complimented by silky dark tan head. Rich, full bodied and robust. Smooth, with chocolate and coffee-like flavors balanced by the subtle \smoky\"" character of just the right amount of peat-smoked specialty malt.""",,
4985,2013-07-09 00:14:02.091221+00:00,2013-07-09 00:14:02.112957+00:00,,Stone Pale Ale,1205,27,,5.4000000000000004,,,,,"Our flagship ale, Stone Pale Ale is our Southern California interpretation of the classic British pale ale style. Deep amber in color, Stone Pale Ale is robust and full flavored. A delicate hop aroma is complemented by a rich maltiness. This is an ale for those who have learned to appreciate distinctive flavor. Stone Pale Ale is great by itself, or with food that requires a beer of character.",,
4986,2013-07-09 00:14:02.136555+00:00,2013-07-09 00:14:02.156159+00:00,,7th Anniversary IPA,1205,32,,7.7000000000000002,,,,,,,
4987,2013-07-09 00:14:02.201445+00:00,2013-07-09 00:14:02.305759+00:00,,Ruination IPA,1205,33,,7.7000000000000002,,,,,,,
4988,2013-07-09 00:14:02.330971+00:00,2013-07-09 00:14:02.364592+00:00,,Imperial Stout 2002,1205,43,,9.4700000000000006,,,,,,,
4989,2013-07-09 00:14:02.390383+00:00,2013-07-09 00:14:02.404883+00:00,,Imperial Stout 2001,1205,43,,9.4700000000000006,,,,,,,
4990,2013-07-09 00:14:02.415853+00:00,2013-07-09 00:14:02.440152+00:00,,5th Anniversary IPA,1205,32,,,,,,,,,
4991,2013-07-09 00:14:02.468248+00:00,2013-07-09 00:14:02.490482+00:00,,4th Anniversary IPA,1205,32,,,,,,,,,
